# The consumers that select each Debian package of locks/upstream.lock, tab-separated:
# base (the bootstrap floor), a package of debs/consumers.pkgs (its dependencies), or
# upstream-<root> (pinned for later stages beside the root upstream.pkgs names).
adduser	mica-system
alsa-utils	upstream-alsa-utils
base-files	base,mica-system
base-passwd	base,mica-system
bash	base
bluez	upstream-bluez
bsdutils	base
coreutils	base
dash	base
dbus	mica-system
dbus-bin	mica-system
dbus-daemon	mica-system
dbus-session-bus-common	mica-system
dbus-system-bus-common	mica-system
debconf	base,mica-system
debianutils	base
diffutils	base
dmsetup	mica-system
dpkg	base
dropbear-bin	mica-system
e2fsprogs	mica-system
findutils	base
gcc-14-base	base,mica-system
grep	base
gzip	base
hostapd	upstream-hostapd
hostname	base
init-system-helpers	base,mica-system
iw	upstream-iw
kmod	mica-system
libacl1	base,mica-system
libapparmor1	mica-system
libasound2-data	upstream-alsa-utils,upstream-bluez,upstream-libasound2t64
libasound2t64	upstream-alsa-utils,upstream-bluez,upstream-libasound2t64
libatomic1	upstream-bluez,upstream-libatomic1,upstream-libglib2.0-0t64
libatopology2t64	upstream-alsa-utils
libattr1	base,mica-system
libaudit-common	base,mica-system
libaudit1	base,mica-system
libblkid1	base,mica-system
libbsd0	base,mica-system
libbz2-1.0	base,mica-system
libc-bin	base
libc6	base,mica-system
libcap-ng0	base,mica-system
libcap2	base,mica-system
libcom-err2	mica-system
libcrypt1	base,mica-system
libdb5.3t64	base,mica-system
libdbus-1-3	mica-system
libdebconfclient0	base,mica-system
libdevmapper1.02.1	mica-system
libdw1t64	upstream-bluez,upstream-libdw1t64
libedit2	mica-system
libelf1t64	mica-system
libexpat1	mica-system
libext2fs2t64	mica-system
libfdisk1	mica-system
libffi8	mica-system
libfftw3-single3	upstream-alsa-utils
libgcc-s1	base,mica-system
libglib2.0-0t64	upstream-bluez,upstream-libglib2.0-0t64
libgmp10	base,mica-system
libgomp1	upstream-alsa-utils
libgssapi-krb5-2	mica-system
libjansson4	mica-system
libjson-c5	upstream-libjson-c5
libk5crypto3	mica-system
libkeyutils1	mica-system
libkmod2	mica-system
libkrb5-3	mica-system
libkrb5support0	mica-system
liblastlog2-2	base
libldap2	mica-system
liblzma5	base
libmd0	base,mica-system
libmnl0	mica-system
libmount1	base,mica-system
libncursesw6	mica-system
libnftables1	mica-system
libnftnl11	mica-system
libnl-3-200	mica-system
libnl-genl-3-200	mica-system
libnl-route-3-200	upstream-hostapd,upstream-libnl-route-3-200,upstream-wpasupplicant
libpam-modules	base,mica-system
libpam-modules-bin	base,mica-system
libpam-runtime	base,mica-system
libpam0g	base,mica-system
libpcre2-8-0	base,mica-system
libpcsclite1	upstream-libpcsclite1,upstream-wpasupplicant
libproc2-0	mica-system
libreadline8t64	upstream-bluez,upstream-libreadline8t64,upstream-wpasupplicant
libsamplerate0	upstream-alsa-utils
libsasl2-2	mica-system
libsasl2-modules-db	mica-system
libseccomp2	mica-system
libselinux1	base,mica-system
libsemanage-common	base,mica-system
libsemanage2	base,mica-system
libsepol2	base,mica-system
libsmartcols1	base,mica-system
libsqlite3-0	base,mica-system
libss2	mica-system
libssl3t64	base,mica-system
libsubid5	upstream-libsubid5
libsystemd-shared	mica-system
libsystemd0	base,mica-system
libtinfo6	base,mica-system
libtirpc-common	mica-system
libtirpc3t64	mica-system
libtomcrypt1	mica-system
libtommath1	mica-system
libudev1	base,mica-system
libuuid1	base,mica-system
libwrap0	mica-system
libxtables12	mica-system
libyaml-0-2	mica-system
libzstd1	base,mica-system
login	base
login.defs	base,mica-system
logsave	mica-system
mawk	base,mica-system
mount	base,mica-system
ncurses-base	base
ncurses-bin	base
nftables	mica-system
openssl-provider-legacy	base,mica-system
passwd	base,mica-system
perl-base	base,mica-system
procps	mica-system
quota	mica-system
readline-common	upstream-bluez,upstream-libreadline8t64,upstream-readline-common,upstream-wpasupplicant
rfkill	upstream-rfkill
sed	base
systemd	mica-system
systemd-repart	mica-system
systemd-resolved	mica-system
systemd-sysv	mica-system
systemd-timesyncd	mica-system
sysvinit-utils	base,mica-system
tar	base
tzdata	base
udev	mica-system
util-linux	base
wpasupplicant	upstream-wpasupplicant
zlib1g	base,mica-system
